,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
29044,Chotāla,Chotala,29.7808,74.5226,India,IN,IND,Haryāna,,16178.0,1356016327
29049,Ganeshpur,Ganeshpur,25.7678,87.3587,India,IN,IND,Bihār,,16175.0,1356429813
29069,Baharu,Baharu,22.204,88.4283,India,IN,IND,West Bengal,,16155.0,1356142669
29071,Rāmnagar,Ramnagar,26.0773,86.8387,India,IN,IND,Bihār,,16152.0,1356412859
29079,Āgiripalle,Agiripalle,16.6833,80.65,India,IN,IND,Andhra Pradesh,,16150.0,1356687645
29092,Kittūr,Kittur,15.6,74.9,India,IN,IND,Karnātaka,,16144.0,1356070622
29108,Jaypul,Jaypul,22.7833,88.5695,India,IN,IND,West Bengal,,16134.0,1356322402
29120,Jakkampālaiyam,Jakkampalaiyam,10.5264,77.2884,India,IN,IND,Tamil Nādu,,16127.0,1356170346
29121,Chennūr,Chennur,14.5667,78.8,India,IN,IND,Andhra Pradesh,,16126.0,1356096953
29125,Rustampur,Rustampur,25.57,85.3061,India,IN,IND,Bihār,,16123.0,1356881266
29127,Math Lohiyār,Math Lohiyar,26.6247,84.7072,India,IN,IND,Bihār,,16119.0,1356692789
29129,Kāmayakkavundanpatti,Kamayakkavundanpatti,9.7386,77.32,India,IN,IND,Tamil Nādu,,16118.0,1356243384
29133,Sultānābād,Sultanabad,18.5247,79.2722,India,IN,IND,Telangāna,,16116.0,1356975454
29139,Jalālābād,Jalalabad,29.5972,78.3153,India,IN,IND,Uttar Pradesh,,16113.0,1356086449
29143,Cherukunnu,Cherukunnu,12.0041,75.3004,India,IN,IND,Kerala,,16111.0,1356554807
29144,Khusropur,Khusropur,25.4817,85.3849,India,IN,IND,Bihār,,16109.0,1356005731
29151,Pilkha,Pilkha,23.1645,83.1821,India,IN,IND,Chhattīsgarh,,16106.0,1356752539
29152,Bakarpur Ogairah,Bakarpur Ogairah,25.3294,87.5138,India,IN,IND,Bihār,,16106.0,1356113318
29157,Kajur,Kajur,24.8768,85.292,India,IN,IND,Bihār,,16104.0,1356236484
29159,Sūrappalli,Surappalli,11.7187,77.8778,India,IN,IND,Tamil Nādu,,16102.0,1356168794
29162,Birhana,Birhana,25.4489,85.7054,India,IN,IND,Bihār,,16098.0,1356023477
29166,Anantapalle,Anantapalle,16.9767,81.4442,India,IN,IND,Andhra Pradesh,,16092.0,1356893543
29172,Aurāhi,Aurahi,26.1895,87.3372,India,IN,IND,Bihār,,16088.0,1356152123
29176,Ottūr,Ottur,8.7167,76.7667,India,IN,IND,Kerala,,16085.0,1356161691
29179,Fatipura,Fatipura,22.8383,74.2313,India,IN,IND,Madhya Pradesh,,16084.0,1356347990
29180,Ottakkadai,Ottakkadai,9.958,78.1886,India,IN,IND,Tamil Nādu,,16084.0,1356233663
29187,Kollūru,Kolluru,16.1847,80.7961,India,IN,IND,Andhra Pradesh,,16079.0,1356157661
29188,Rāmewādi,Ramewadi,16.0333,74.35,India,IN,IND,Mahārāshtra,,16079.0,1356997924
29194,Shāhpur,Shahpur,23.8937,79.0507,India,IN,IND,Madhya Pradesh,,16077.0,1356440946
29199,Kalanjūr,Kalanjur,9.1167,76.85,India,IN,IND,Kerala,,16075.0,1356161071
29202,Bhiloda,Bhiloda,23.46,73.15,India,IN,IND,Gujarāt,,16074.0,1356527886
29207,Makhu,Makhu,31.1033,74.9963,India,IN,IND,Punjab,,16071.0,1356055682
29211,Vontimitta,Vontimitta,14.3833,79.0333,India,IN,IND,Andhra Pradesh,,16067.0,1356090391
29217,Bādshāhpur,Badshahpur,28.393,77.048,India,IN,IND,Haryāna,,16064.0,1356310926
29224,Ayyampālaiyam,Ayyampalaiyam,10.2253,77.7485,India,IN,IND,Tamil Nādu,,16055.0,1356840994
